,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,, , ,#, , ,Coin, , , ,Price, , ,1h, , ,24h, , ,7d, , ,24h Volume, , ,Mkt Cap, , ,Last 7 Days, ,,,,,,,,,,,,,,,,,,,,,,,
1,, , , , , ,1, , , , , , , , , ,Bitcoin,   ,BTC,   ,BTC, , , , , , , , , , ," $40,976.88 ", , , -0.2% , , , 4.7% , , , 6.4% , , ," $27,033,110,424 ", , ," $776,823,757,117 ", , , , ,   ,
2,, , , , , ,2, , , , , , , , , ,Ethereum,   ,ETH,   ,ETH, , , , , , , , , , ," $2,807.66 ", , , -0.6% , , , 1.1% , , , 6.7% , , ," $21,410,746,149 ", , ," $335,939,199,934 ", , , , ,   ,
3,, , , , , ,3, , , , , , , , , ,Tether,   ,USDT,   ,USDT, , , , , , , , , , , $1.00 , , , 0.2% , , , -0.1% , , , 0.0% , , ," $55,656,164,656 ", , ," $79,644,127,094 ", , , , ,   ,
4,, , , , , ,4, , , , , , , , , ,BNB,   ,BNB,   ,BNB, , , , , , , , , , , $382.03 , , , -0.6% , , , 2.6% , , , 0.1% , , ," $1,440,969,374 ", , ," $64,190,504,182 ", , , , ,   ,
5,, , , , , ,5, , , , , , , , , ,USD Coin,   ,USDC,   ,USDC, , , , , , , , , , , $1.00 , , , 0.3% , , , -0.1% , , , -0.0% , , ," $4,673,308,384 ", , ," $53,523,327,841 ", , , , ,   ,
6,, , , , , ,6, , , , , , , , , ,XRP,   ,XRP,   ,XRP, , , , , , , , , , , $0.753162 , , , -1.6% , , , 0.7% , , , -3.2% , , ," $4,264,830,964 ", , ," $36,122,717,834 ", , , , ,   ,
7,, , , , , ,7, , , , , , , , , ,Terra,   ,LUNA,   ,LUNA, , , , , , , , , , , $83.79 , , , 0.3% , , , 9.2% , , , 68.9% , , ," $3,423,685,883 ", , ," $31,494,542,976 ", , , , ,   ,
8,, , , , , ,8, , , , , , , , , ,Solana,   ,SOL,   ,SOL, , , , , , , , , , , $95.06 , , , -1.2% , , , 7.6% , , , 4.7% , , ," $2,470,962,650 ", , ," $30,415,190,250 ", , , , ,   ,
9,, , , , , ,9, , , , , , , , , ,Cardano,   ,ADA,   ,ADA, , , , , , , , , , , $0.928206 , , , -1.6% , , , 4.3% , , , -0.6% , , ," $1,359,359,971 ", , ," $29,747,120,743 ", , , , ,   ,
10,, , , , , ,10, , , , , , , , , ,Avalanche,   ,AVAX,   ,AVAX, , , , , , , , , , , $79.48 , , , -1.9% , , , 1.8% , , , 2.7% , , ," $1,378,257,342 ", , ," $19,516,615,701 ", , , , ,   ,
11,, , , , , ,11, , , , , , , , , ,Polkadot,   ,DOT,   ,DOT, , , , , , , , , , , $17.68 , , , -1.5% , , , -3.0% , , , 4.3% , , ," $1,171,455,834 ", , ," $19,243,930,136 ", , , , ,   ,
12,, , , , , ,12, , , , , , , , , ,Binance USD,   ,BUSD,   ,BUSD, , , , , , , , , , , $1.00 , , , -0.3% , , , -0.0% , , , 0.3% , , ," $4,142,870,097 ", , ," $18,337,382,902 ", , , , ,   ,
13,, , , , , ,13, , , , , , , , , ,Dogecoin,   ,DOGE,   ,DOGE, , , , , , , , , , , $0.127725 , , , -0.8% , , , 0.5% , , , -6.9% , , ," $781,004,476 ", , ," $16,918,935,950 ", , , , ,   ,
14,, , , , , ,14, , , , , , , , , ,Shiba Inu,   ,SHIB,   ,SHIB, , , , , , , , , , , $0.000024822982 , , , -1.5% , , , 1.4% , , , -2.8% , , ," $1,019,752,573 ", , ," $13,623,725,458 ", , , , ,   ,
15,, , , , , ,15, , , , , , , , , ,TerraUSD,   ,UST,   ,UST, , , , , , , , , , , $1.00 , , , -0.0% , , , -0.1% , , , 0.2% , , ," $503,570,967 ", , ," $12,950,494,964 ", , , , ,   ,
16,, , , , , ,16, , , , , , , , , ,Wrapped Bitcoin,   ,WBTC,   ,WBTC, , , , , , , , ," $40,924.83 ", , , -0.4% , , , 4.6% , , , 6.2% , , ," $345,103,633 ", , ," $10,746,514,216 ", , , , ,   ,,,
17,, , , , , ,17, , , , , , , , , ,Cronos,   ,CRO,   ,CRO, , , , , , , , , , , $0.419980 , , , -0.9% , , , 1.1% , , , 3.5% , , ," $126,020,324 ", , ," $10,608,261,819 ", , , , ,   ,
