,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Symbol,Name,Price,(Intraday),Change,%,Change,Market,Cap,Volume,in,Currency,(Since,0:00,UTC),Volume,in,Currency,(24Hr),Total,Volume,All,Currencies,(24Hr),Circulating,Supply,52,Week,Range,Day,Chart
1,BTC-USD,Bitcoin,USD,"40,882.35","+1,825.55",+4.67%,775.565B,30.95B,30.95B,30.95B,18.971M,,,,,,,,,,,,,,,,,,,,
2,ETH-USD,Ethereum,USD,"2,802.23",+31.80,+1.15%,335.619B,20.09B,20.09B,20.09B,119.769M,,,,,,,,,,,,,,,,,,,,
3,USDT-USD,Tether,USD,1.0005,-0.0001,-0.01%,79.617B,67.812B,67.812B,67.812B,79.576B,,,,,,,,,,,,,,,,,,,,
4,BNB-USD,Binance,Coin,USD,381.64,+9.89,+2.66%,63.016B,1.795B,1.795B,1.795B,165.117M,,,,,,,,,,,,,,,,,,,
5,USDC-USD,USD,Coin,USD,1.0000,+0.0006,+0.06%,53.476B,5.527B,5.527B,5.527B,53.476B,,,,,,,,,,,,,,,,,,,
6,XRP-USD,XRP,USD,0.752161,+0.007086,+0.95%,36.066B,3.021B,3.021B,3.021B,47.949B,,,,,,,,,,,,,,,,,,,,
7,LUNA1-USD,Terra,USD,83.46,+6.89,+9.00%,31.438B,4.264B,4.264B,4.264B,376.665M,,,,,,,,,,,,,,,,,,,,
8,ADA-USD,Cardano,USD,0.925759,+0.037921,+4.27%,31.162B,1.753B,1.753B,1.753B,33.661B,,,,,,,,,,,,,,,,,,,,
9,SOL-USD,Solana,USD,94.84,+6.57,+7.44%,30.354B,3.061B,3.061B,3.061B,320.063M,,,,,,,,,,,,,,,,,,,,
10,HEX-USD,HEX,USD,0.143716,-0.002083,-1.43%,24.922B,24.651M,24.651M,24.651M,173.411B,,,,,,,,,,,,,,,,,,,,
11,AVAX-USD,Avalanche,USD,79.19,+1.31,+1.68%,19.492B,1.811B,1.811B,1.811B,246.135M,,,,,,,,,,,,,,,,,,,,
12,BUSD-USD,Binance,USD,USD,1.0010,+0.0025,+0.25%,18.157B,5.76B,5.76B,5.76B,18.138B,,,,,,,,,,,,,,,,,,,
13,DOT-USD,Polkadot,USD,17.65,-0.55,-3.00%,17.429B,1.567B,1.567B,1.567B,987.579M,,,,,,,,,,,,,,,,,,,,
14,DOGE-USD,Dogecoin,USD,0.127400,+0.000536,+0.42%,16.902B,719.608M,719.608M,719.608M,132.671B,,,,,,,,,,,,,,,,,,,,
15,SHIB-USD,SHIBA,INU,USD,0.000025,+0.000000,+1.51%,13.598B,1.472B,1.472B,1.472B,549.063T,,,,,,,,,,,,,,,,,,,
16,UST-USD,TerraUSD,USD,1.0021,-0.0010,-0.10%,12.925B,553.582M,553.582M,553.582M,12.897B,,,,,,,,,,,,,,,,,,,,
17,MATIC-USD,Polygon,USD,1.5401,+0.0432,+2.89%,11.609B,1.206B,1.206B,1.206B,7.538B,,,,,,,,,,,,,,,,,,,,
18,WBTC-USD,Wrapped,Bitcoin,USD,"40,840.12","+1,784.63",+4.57%,10.731B,268.626M,268.626M,268.626M,"262,762",,,,,,,,,,,,,,,,,,,
19,CRO-USD,Crypto.com,Coin,USD,0.419347,+0.005405,+1.31%,10.594B,122.305M,122.305M,122.305M,25.263B,,,,,,,,,,,,,,,,,,,
20,DAI-USD,Dai,USD,0.999971,+0.000162,+0.02%,9.69B,337.012M,337.012M,337.012M,9.69B,,,,,,,,,,,,,,,,,,,,
21,ATOM-USD,Cosmos,USD,29.01,+0.40,+1.38%,8.308B,1.21B,1.21B,1.21B,286.37M,,,,,,,,,,,,,,,,,,,,
22,LTC-USD,Litecoin,USD,108.22,+0.51,+0.47%,7.547B,874.082M,874.082M,874.082M,69.739M,,,,,,,,,,,,,,,,,,,,
23,UNI1-USD,Uniswap,USD,10.07,+0.01,+0.12%,6.916B,500.71M,500.71M,500.71M,686.728M,,,,,,,,,,,,,,,,,,,,
24,LINK-USD,Chainlink,USD,14.59,+0.23,+1.60%,6.812B,843.811M,843.811M,843.811M,467.01M,,,,,,,,,,,,,,,,,,,,
25,BCH-USD,Bitcoin,Cash,USD,325.00,+9.64,+3.06%,6.174B,4.247B,4.247B,4.247B,18.996M,,,,,,,,,,,,,,,,,,,
